"semester","day","start","end","room","course","year_code","module_name","group_name","type"
"1","1","9","11","0481 CR4","KSOFG","73","Data Centric Rad","A","P"
"1","1","11","12","0436 CR5","KSOFG","73","Data Centric Rad","A","P"
"1","1","12","13","0483 CR2","KSOFG","73","Data Centric Rad","C","P"
"1","1","13","14","0484 CR1","KSOFG","73","Operating Systems 1","B","P"
"1","1","15","16","0940","KSOFG","73","Graphics Programming","","L"
"1","1","16","17","0165","KSOFG","73","Graphics Programming","","L"
"1","1","17","18","0837","KSOFG","73","Object Oriented Programming","","L"
"1","1","9","11","0436 CR5","KSOFG","73","Data Representation and Querying","B","P"
"1","2","9","11","0484 CR1","KSOFG","73","Graphics Programming","A","P"
"1","2","11","13","0484 CR1","KSOFG","73","Operating Systems 1","B","P"
"1","2","14","16","0436 CR5","KSOFG","73","Data Representation and Querying","C","P"
"1","2","17","20","0941","KSOFG","73","Software Quality Management","","L"
"1","2","9","11","0482 CR3","KSOFG","73","Operating Systems 1","C","P"
"1","2","11","13","0480 CR7","KSOFG","73","Graphics Programming","C","P"
"1","2","15","16","0480 CR7","KSOFG","73","Operating Systems 1","A","P"
"1","3","9","11","0436 CR5","KSOFG","73","Data Representation and Querying","A","P"
"1","3","11","12","0995","KSOFG","73","Operating Systems 1","","L"
"1","3","12","13","1039","KSOFG","73","Data Centric Rad","","L"
"1","3","15","16","1000","KSOFG","73","Object Oriented Programming","","L"
"1","3","16","18","0483 CR2","KSOFG","73","Operating Systems 1","A","P"
"1","3","9","11","0484 CR1","KSOFG","73","Data Centric Rad","C","P"
"1","4","13","14","0483 CR2","KSOFG","73","Operating Systems 1","C","P"
"1","4","12","13","0996","KSOFG","73","Object Oriented Programming","","L"
"1","4","13","14","0484 CR1","KSOFG","73","Data Centric Rad","B","P"
"1","4","15","16","0903","KSOFG","73","Data Representation and Querying","","L"
"1","4","17","18","0995","KSOFG","73","Operating Systems 1","","L"
"1","5","9","11","0484 CR1","KSOFG","73","Graphics Programming","B","P"
"2","1","14","15"," Prefab 05","KSOFG","73","Graph Theory","A","P"
"2","1","16","18","0481 CR4","KSOFG","73","Software Testing","A","P"
"2","1","10","11","0994","KSOFG","73","Database Management","","L"
"2","1","12","14","0223","KSOFG","73","Mobile Applications Development 2","","L"
"2","1","16","18","0436 CR5","KSOFG","73","Server Side Rad","C","P"
"2","2","11","1","0482 CR3","KSOFG","73","Database Management","C","P"
"2","2","9","11","0436 CR5","KSOFG","73","Software Testing","C","P"
"2","2","11","13","0470 Computing Practical Lab","KSOFG","73","Mobile Applications Development 2","A","P"
"2","2","14","16","0436 CR5","KSOFG","73","Software Testing","B","P"
"2","2","16","18","0436 CR5","KSOFG","73","Server Side Rad","B","P"
"2","2","9","11","0481 CR4","KSOFG","73","Database Management","A","P"
"2","2","12","13","0379","KSOFG","73","Graph Theory","B","P"
"2","3","9","10","0162","KSOFG","73","Graph Theory","C","P"
"2","3","10","11","0938","KSOFG","73","Graph Theory","","L"
"2","3","11","12","0208","KSOFG","73","Professional Practice in IT","","L"
"2","3","13","14","0997","KSOFG","73","Server Side Rad","","L"
"2","3","14","15","0994","KSOFG","73","Software Testing","","L"
"2","3","15","16","0939","KSOFG","73","Software Testing","","L"
"2","3","16","17","0995","KSOFG","73","Database Management","","L"
"2","4","9","11"," Prefab 18","KSOFG","73","Mobile Applications Development 2","B","P"
"2","4","11","13"," Prefab 18","KSOFG","73","Mobile Applications Development 2","C","P"
"2","4","14","16","0436 CR5","KSOFG","73","Server Side Rad","A","P"
"2","5","9","11","0482 CR3","KSOFG","73","Database Management","B","P"
"2","5","11","12","0208","KSOFG","73","Graph Theory","","L"
